ac_no,ac_name,ac_name_results,winner_party,winner_candidate,winner_votes,winner_pct,runner_party,runner_candidate,runner_votes,runner_pct,margin_votes,margin_pct_points,winner_bloc,runner_bloc,voting_date
147,Sonarpur Dakshin,SONARPUR DAKSHIN,AITC,Arundhuti Maitra (Lovely),109222,46.92,BJP,Anjana Basu,83041,35.67,26181,11.25,AITC Bloc,BJP,10 April 2021
148,Bhangar[9],BHANGAR[9],ISF,Nawsad Siddique,109237,45.1,AITC,Karim Rezaul,83086,34.31,26151,10.79,Left-Cong-ISF Bloc,AITC Bloc,10 April 2021
149,Kasba,KASBA,AITC,Javed Ahmed Khan,121372,54.39,BJP,Dr. Indranil Khan,57750,25.88,63622,28.51,AITC Bloc,BJP,10 April 2021
150,Jadavpur,JADAVPUR,AITC,Debabrata Majumdar (Malay),98100,45.54,CPI(M),Dr. Sujan Chakraborty,59231,27.5,38869,18.04,AITC Bloc,Left-Cong-ISF Bloc,10 April 2021
151,Sonarpur Uttar,SONARPUR UTTAR,AITC,Firdousi Begum,119957,49.88,BJP,Ranjan Baidya,83867,34.87,36090,15.010000000000005,AITC Bloc,BJP,10 April 2021
152,Tollygunge,TOLLYGUNGE,AITC,Aroop Biswas,101440,51.4,BJP,Babul Supriyo,51360,26.02,50080,25.38,AITC Bloc,BJP,10 April 2021
153,Behala Purba,BEHALA PURBA,AITC,Ratna Chatterjee,110968,50.01,BJP,Payel Sarkar,73540,33.15,37428,16.86,AITC Bloc,BJP,10 April 2021
154,Behala Paschim,BEHALA PASCHIM,AITC,Partha Chatterjee,114778,49.51,BJP,Srabanti Chatterjee,63894,27.56,50884,21.95,AITC Bloc,BJP,10 April 2021
155,Maheshtala,MAHESHTALA,AITC,Dulal Chandra Das,124008,56.38,BJP,Umesh Das,66059,30.03,57949,26.35,AITC Bloc,BJP,10 April 2021
156,Budge Budge,BUDGE BUDGE,AITC,Ashok Kumar Deb,122357,56.41,BJP,Dr. Tarun Kumar Adak,77643,35.8,44714,20.61,AITC Bloc,BJP,10 April 2021
157,Metiaburuz,METIABURUZ,AITC,Abdul Khaleque Molla,151066,76.85,BJP,Ramjit Prasad,31462,16.0,119604,60.849999999999994,AITC Bloc,BJP,10 April 2021
158,Kolkata Port,KOLKATA PORT,AITC,Firhad Hakim,105543,69.23,BJP,Awadh Kishore Gupta,36989,24.26,68554,44.97,AITC Bloc,BJP,26 April 2021
159,Bhabanipur,BHABANIPUR,AITC,Sobhandeb Chattopadhyay,73505,57.71,BJP,Rudranil Ghosh,44786,35.16,28719,22.550000000000004,AITC Bloc,BJP,26 April 2021
160,Rashbehari,RASHBEHARI,AITC,Debasish Kumar,65704,52.79,BJP,Lt. Gen. (Dr.) Subrata Saha,44290,35.59,21414,17.199999999999996,AITC Bloc,BJP,26 April 2021
161,Ballygunge,BALLYGUNGE,AITC,Subrata Mukherjee,106585,70.6,BJP,Lokenath Chatterjee,31226,20.68,75359,49.919999999999995,AITC Bloc,BJP,26 April 2021
162,Chowrangee,CHOWRANGEE,AITC,Nayna Bandyopadhyay,70101,62.87,BJP,Devdutta Maji,24757,22.2,45344,40.67,AITC Bloc,BJP,29 April 2021
163,Entally,ENTALLY,AITC,Swarna Kamal Saha,101709,64.83,BJP,Priyanka Tibrewal,43452,27.7,58257,37.129999999999995,AITC Bloc,BJP,29 April 2021
164,Beleghata,BELEGHATA,AITC,Paresh Paul,103182,65.1,BJP,Kashinath Biswas,36042,22.74,67140,42.36,AITC Bloc,BJP,29 April 2021
165,Jorasanko,JORASANKO,AITC,Vivek Gupta,52123,52.67,BJP,Meena Devi Purohit,39380,39.8,12743,12.870000000000005,AITC Bloc,BJP,29 April 2021
166,Shyampukur,SHYAMPUKUR,AITC,Dr. Shashi Panja,55785,54.18,BJP,Sandipan Biswas,33265,32.31,22520,21.869999999999997,AITC Bloc,BJP,29 April 2021
167,Maniktala,MANIKTALA,AITC,Sadhan Pande,67577,50.82,BJP,Kalyan Chaubey,47339,35.6,20238,15.219999999999999,AITC Bloc,BJP,29 April 2021
168,Kashipur-Belgachia,KASHIPUR-BELGACHIA,AITC,Atin Ghosh,76182,56.48,BJP,Sibaji Sinha Roy,40792,30.24,35390,26.24,AITC Bloc,BJP,29 April 2021
169,Bally,BALLY,AITC,Rana Chatterjee,53347,42.38,BJP,Baishali Dalmiya,47110,37.43,6237,4.950000000000003,AITC Bloc,BJP,10 April 2021
170,Howrah Uttar,HOWRAH UTTAR,AITC,Gautam Chowdhuri,71575,47.81,BJP,Umesh Rai,66053,44.12,5522,3.690000000000005,AITC Bloc,BJP,10 April 2021
171,Howrah Madhya,HOWRAH MADHYA,AITC,Arup Roy,111554,57.16,BJP,Sanjay Singh,65007,33.31,46547,23.849999999999994,AITC Bloc,BJP,10 April 2021
172,Shibpur,SHIBPUR,AITC,Manoj Tiwary,92372,50.69,BJP,Rathin Chakrabarty,59769,32.8,32603,17.89,AITC Bloc,BJP,10 April 2021
173,Howrah Dakshin,HOWRAH DAKSHIN,AITC,Nandita Chowdhury,116839,53.85,BJP,Rantidev Sengupta,66270,30.55,50569,23.3,AITC Bloc,BJP,10 April 2021
174,Sankrail (SC),SANKRAIL (SC),AITC,Priya Paul,111888,50.37,BJP,Probhakar Pandit,71461,32.17,40427,18.199999999999996,AITC Bloc,BJP,10 April 2021
175,Panchla,PANCHLA,AITC,Gulsan Mullick,104572,48.19,BJP,Mohit Lal Ghanti,71821,33.1,32751,15.089999999999996,AITC Bloc,BJP,10 April 2021
176,Uluberia Purba,ULUBERIA PURBA,AITC,Bidesh Ranjan Bose,86526,44.83,BJP,Pratyush Mandal,69400,35.95,17126,8.879999999999995,AITC Bloc,BJP,10 April 2021
177,Uluberia Uttar (SC),ULUBERIA UTTAR (SC),AITC,Dr. Nirmal Maji,91501,49.25,BJP,Chiran Bera,70498,37.95,21003,11.299999999999997,AITC Bloc,BJP,6 April 2021
178,Uluberia Dakshin,ULUBERIA DAKSHIN,AITC,Pulak Roy,101880,50.37,BJP,Papia Dey (Adhikary),73442,36.31,28438,14.059999999999995,AITC Bloc,BJP,6 April 2021
179,Shyampur,SHYAMPUR,AITC,Kalipada Mandal,114804,51.74,BJP,Tanusree Chakraborty,83293,37.54,31511,14.200000000000003,AITC Bloc,BJP,6 April 2021
180,Bagnan,BAGNAN,AITC,Arunava Sen (Raja),106042,53.04,BJP,Anupam Mallik,75922,37.97,30120,15.07,AITC Bloc,BJP,6 April 2021
181,Amta,AMTA,AITC,Sukanta Kumar Paul,102445,49.06,BJP,Debtanu Bhattacharya,76240,36.51,26205,12.550000000000004,AITC Bloc,BJP,6 April 2021
182,Udaynarayanpur,UDAYNARAYANPUR,AITC,Samir Kumar Panja,101510,51.21,BJP,Sumit Ranjan Karar,87512,44.15,13998,7.060000000000002,AITC Bloc,BJP,6 April 2021
183,Jagatballavpur,JAGATBALLAVPUR,AITC,Sitanath Ghosh,116562,49.45,BJP,Anupam Ghosh,87366,37.06,29196,12.39,AITC Bloc,BJP,6 April 2021
184,Domjur,DOMJUR,AITC,Kalyan Ghosh,130499,52.0,BJP,Rajib Banerjee,87879,35.01,42620,16.990000000000002,AITC Bloc,BJP,10 April 2021
185,Uttarpara,UTTARPARA,AITC,Kanchan Mullick,93878,46.96,BJP,Prabir Kumar Ghosal,57889,28.96,35989,18.0,AITC Bloc,BJP,10 April 2021
186,Sreerampur,SREERAMPUR,AITC,Dr. Sudipto Roy,93021,49.46,BJP,Kabir Shankar Bose,69588,37.0,23433,12.46,AITC Bloc,BJP,10 April 2021
187,Champdani,CHAMPDANI,AITC,Arindam Guin (Bubai),100972,50.2,BJP,Dilip Singh,70894,35.25,30078,14.950000000000003,AITC Bloc,BJP,10 April 2021
188,Singur,SINGUR,AITC,Becharam Manna,101077,48.15,BJP,Rabindranath Bhattacharya,75154,35.8,25923,12.350000000000001,AITC Bloc,BJP,10 April 2021
189,Chandannagar,CHANDANNAGAR,AITC,Indranil Sen,86778,47.63,BJP,Deepanjan Kumar Guha,55749,30.6,31029,17.03,AITC Bloc,BJP,10 April 2021
190,Chunchura,CHUNCHURA,AITC,Asit Mazumder (Tapan),117104,45.97,BJP,Locket Chatterjee,98687,38.74,18417,7.229999999999997,AITC Bloc,BJP,10 April 2021
191,Balagarh (SC),BALAGARH (SC),AITC,Manoranjan Byapari,100364,45.63,BJP,Subhas Chandra Haldar,94580,43.0,5784,2.6300000000000026,AITC Bloc,BJP,10 April 2021
192,Pandua,PANDUA,AITC,Dr. Ratna De Nag,102874,45.99,BJP,Partha Sharma,71016,31.75,31858,14.240000000000002,AITC Bloc,BJP,10 April 2021
193,Saptagram,SAPTAGRAM,AITC,Tapan Dasgupta,93328,48.56,BJP,Debabrata Biswas,83556,43.48,9772,5.080000000000005,AITC Bloc,BJP,10 April 2021
194,Chanditala,CHANDITALA,AITC,Swati Khandoker,103118,49.79,BJP,Yash Dasgupta,61771,29.83,41347,19.96,AITC Bloc,BJP,10 April 2021
195,Jangipara,JANGIPARA,AITC,Snehasis Chakraborty,101885,48.42,BJP,Debjit Sarkar,83959,39.9,17926,8.520000000000003,AITC Bloc,BJP,6 April 2021
196,Haripal,HARIPAL,AITC,Dr. Karabi Manna,110215,49.92,BJP,Samiran Mitra,87143,39.47,23072,10.450000000000003,AITC Bloc,BJP,6 April 2021
197,Dhanekhali (SC),DHANEKHALI (SC),AITC,Asima Patra,124776,53.36,BJP,Tusar Kumar Majumdar,94617,40.46,30159,12.899999999999999,AITC Bloc,BJP,6 April 2021
198,Tarakeswar,TARAKESWAR,AITC,Ramendu Sinharay,96698,46.96,BJP,Dr. Swapan Dasgupta,89214,43.33,7484,3.6300000000000026,AITC Bloc,BJP,6 April 2021
199,Pursurah,PURSURAH,BJP,Biman Ghosh,119334,53.5,AITC,Dilip Yadav,91156,40.86,28178,12.64,BJP,AITC Bloc,6 April 2021
200,Arambagh (SC),ARAMBAGH (SC),BJP,Madhusudan Bag,103108,46.88,AITC,Sujata Mondal,95936,43.62,7172,3.260000000000005,BJP,AITC Bloc,6 April 2021
201,Goghat (SC),GOGHAT (SC),BJP,Biswanath Karak,102227,46.56,AITC,Manas Majumdar,98080,44.67,4147,1.8900000000000006,BJP,AITC Bloc,6 April 2021
202,Khanakul,KHANAKUL,BJP,Susanta Ghosh,107403,49.27,AITC,Munsi Nazbul Karim,94519,43.36,12884,5.910000000000004,BJP,AITC Bloc,6 April 2021
203,Tamluk,TAMLUK,AITC,Saumen Kumar Mahapatra,108243,45.86,BJP,Hare Krishna Bera,107450,45.52,793,0.3399999999999963,AITC Bloc,BJP,1 April 2021
204,Panskura Purba,PANSKURA PURBA,AITC,Biplab Roy Chowdhury,91213,45.97,BJP,Debabrata Pattanayek,81553,41.11,9660,4.859999999999999,AITC Bloc,BJP,1 April 2021
205,Panskura Paschim,PANSKURA PASCHIM,AITC,Phiroja Bibi,111705,47.71,BJP,Sintu Senapati,102816,43.91,8889,3.8000000000000043,AITC Bloc,BJP,1 April 2021
206,Moyna,MOYNA,BJP,Ashoke Dinda,108109,48.17,AITC,Sangram Kumar Dolai,106849,47.61,1260,0.5600000000000023,BJP,AITC Bloc,1 April 2021
207,Nandakumar,NANDAKUMAR,AITC,Sukumar De,108181,47.6,BJP,Nilanjan Adhikary,102775,45.22,5406,2.3800000000000026,AITC Bloc,BJP,1 April 2021
208,Mahisadal,MAHISADAL,AITC,Tilak Kumar Chakraborty,101986,46.49,BJP,Biswanath Banerjee,99600,45.41,2386,1.0800000000000054,AITC Bloc,BJP,1 April 2021
209,Haldia (SC),HALDIA (SC),BJP,Tapasi Mondal,104126,47.15,AITC,Swapan Naskar,89118,40.36,15008,6.789999999999999,BJP,AITC Bloc,1 April 2021
210,Nandigram [10][11][12][13],NANDIGRAM [10][11][12][13],BJP,Suvendu Adhikari,110764,48.49,AITC,Mamata Banerjee,108808,47.64,1956,0.8500000000000014,BJP,AITC Bloc,1 April 2021
211,Chandipur,CHANDIPUR,AITC,Soham Chakraborty,109770,49.82,BJP,Pulak Kanti Guria,96298,43.71,13472,6.109999999999999,AITC Bloc,BJP,1 April 2021
212,Patashpur,PATASHPUR,AITC,Uttam Barik,105299,50.42,BJP,Ambujaksha Mahanti,95305,45.64,9994,4.780000000000001,AITC Bloc,BJP,27 March 2021
213,Kanthi Uttar,KANTHI UTTAR,BJP,Sumita Sinha,113524,49.7,AITC,Tarun Kumar Jana,104194,45.62,9330,4.080000000000005,BJP,AITC Bloc,27 March 2021
214,Bhagabanpur,BHAGABANPUR,BJP,Rabindranath Maity,121480,54.46,AITC,Ardhendu Maity,93931,42.19,27549,12.270000000000003,BJP,AITC Bloc,27 March 2021
215,Khejuri (SC),KHEJURI (SC),BJP,Santanu Pramanik,110407,51.93,AITC,Partha Pratim Das,92442,43.48,17965,8.450000000000003,BJP,AITC Bloc,27 March 2021
216,Kanthi Dakshin,KANTHI DAKSHIN,BJP,Arup Kumar Das,98477,50.58,AITC,Jyotirmoy Kar,88184,45.3,10293,5.280000000000001,BJP,AITC Bloc,27 March 2021
217,Ramnagar,RAMNAGAR,AITC,Akhil Giri,112622,50.72,BJP,Swadesh Ranjan Nayak,100105,45.08,12517,5.640000000000001,AITC Bloc,BJP,27 March 2021
218,Egra,EGRA,AITC,Tarun Kumar Maity,125763,52.22,BJP,Arup Dash,107272,44.55,18491,7.670000000000002,AITC Bloc,BJP,27 March 2021
219,Dantan,DANTAN,AITC,Bikram Chandra Pradhan,94609,48.18,BJP,Saktipada Nayak,93834,47.79,775,0.39000000000000057,AITC Bloc,BJP,27 March 2021
220,Nayagram (ST),NAYAGRAM (ST),AITC,Dulal Murmu,99825,52.52,BJP,Bakul Murmu,77089,40.55,22736,11.970000000000006,AITC Bloc,BJP,27 March 2021
221,Gopiballavpur,GOPIBALLAVPUR,AITC,Dr. Khagendra Nath Mahata,102710,52.34,BJP,Sanjit Mahata,79106,40.31,23604,12.030000000000001,AITC Bloc,BJP,27 March 2021
222,Jhargram,JHARGRAM,AITC,Birbaha Hansda,108044,54.34,BJP,Sukhamay Satpathy (Jahar),70048,35.23,37996,19.110000000000007,AITC Bloc,BJP,27 March 2021
223,Keshiary (ST),KESHIARY (ST),AITC,Paresh Murmu,106366,50.01,BJP,Sonali Murmu,91036,42.8,15330,7.210000000000001,AITC Bloc,BJP,27 March 2021
224,Kharagpur Sadar,KHARAGPUR SADAR,BJP,Hiran Chatterjee,79607,46.45,AITC,Pradip Sarkar,75836,44.25,3771,2.200000000000003,BJP,AITC Bloc,1 April 2021
225,Narayangarh,NARAYANGARH,AITC,Suryakanta Atta,100894,46.33,BJP,Ramprasad Giri,98478,45.23,2416,1.1000000000000014,AITC Bloc,BJP,1 April 2021
226,Sabang,SABANG,AITC,Manas Bhunia,112098,47.46,BJP,Amulya Maity,102234,43.28,9864,4.18,AITC Bloc,BJP,1 April 2021
227,Pingla,PINGLA,AITC,Ajit Maity,112435,49.17,BJP,Antara Bhattacharya,105779,46.26,6656,2.9100000000000037,AITC Bloc,BJP,1 April 2021
228,Kharagpur,KHARAGPUR,AITC,Dinen Ray,109727,54.85,BJP,Tapan Bhuiya,73497,36.74,36230,18.11,AITC Bloc,BJP,27 March 2021
229,Debra,DEBRA,AITC,Humayun Kabir,95850,46.79,BJP,Bharati Ghosh,84624,41.31,11226,5.479999999999997,AITC Bloc,BJP,1 April 2021
230,Daspur,DASPUR,AITC,Mamata Bhunia,114753,51.58,BJP,Prashanth Bera,87911,39.52,26842,12.059999999999995,AITC Bloc,BJP,1 April 2021
231,Ghatal,GHATAL,BJP,Shital Kapat,105812,46.95,AITC,Shankar Dolai,104846,46.52,966,0.4299999999999997,BJP,AITC Bloc,1 April 2021
232,Chandrakona (SC),CHANDRAKONA (SC),AITC,Arup Dhara,121846,48.87,BJP,Shibram Das,110565,44.35,11281,4.519999999999996,AITC Bloc,BJP,1 April 2021
233,Garbeta,GARBETA,AITC,Uttara Singha,94928,45.71,BJP,Madan Ruidas,84356,40.62,10572,5.090000000000003,AITC Bloc,BJP,27 March 2021
234,Salboni,SALBONI,AITC,Srikanta Mahata,126020,50.57,BJP,Rajib Kundu,93376,37.47,32644,13.100000000000001,AITC Bloc,BJP,27 March 2021
235,Keshpur,KESHPUR,AITC,Siuli Saha,116992,50.81,BJP,Pritish Ranjan,96272,41.82,20720,8.990000000000002,AITC Bloc,BJP,1 April 2021
236,Medinipur,MEDINIPUR,AITC,June Malia,121175,50.72,BJP,Shamit Dash,96778,40.51,24397,10.21,AITC Bloc,BJP,27 March 2021
237,Binpur (ST),BINPUR (ST),AITC,Debnath Hansda,99786,53.18,BJP,Palan Saren,60213,32.09,39573,21.089999999999996,AITC Bloc,BJP,27 March 2021
238,Bandwan (ST),BANDWAN (ST),AITC,Rajib Lochan Saren,112183,47.07,BJP,Parsi Murmu,93298,39.14,18885,7.93,AITC Bloc,BJP,27 March 2021
239,Balarampur,BALARAMPUR,BJP,Baneswar Mahato,88803,45.17,AITC,Shantiram Mahato,88530,45.03,273,0.14000000000000057,BJP,AITC Bloc,27 March 2021
240,Baghmundi,BAGHMUNDI,AITC,Sushanta Mahato,75245,36.76,AJSU,Ashutosh Mahato,61510,30.05,13735,6.709999999999997,AITC Bloc,Others,27 March 2021
241,Joypur,JOYPUR,BJP,Narahari Mahato,73713,36.66,INC,Phanibhushan Kumar,61611,30.64,12102,6.019999999999996,BJP,Left-Cong-ISF Bloc,27 March 2021
242,Purulia,PURULIA,BJP,Sudip Kumar Mukherjee,88899,43.33,AITC,Sujoy Banerjee,82134,40.12,6585,3.210000000000001,BJP,AITC Bloc,27 March 2021
243,Manbazar (ST),MANBAZAR (ST),AITC,Sandhyarani Tudu,102169,48.39,BJP,Gouri Singh Sardar,86679,41.05,15490,7.340000000000003,AITC Bloc,BJP,27 March 2021
244,Kashipur,KASHIPUR,BJP,Kamalakanta Hansda,92061,47.68,AITC,Swapan Kumar Beltharia,84829,43.93,7240,3.75,BJP,AITC Bloc,27 March 2021
245,Para (SC),PARA (SC),BJP,Nadiar Chand Bouri,86930,45.01,AITC,Umapada Bauri,82986,42.96,3944,2.049999999999997,BJP,AITC Bloc,27 March 2021
246,Raghunathpur (SC),RAGHUNATHPUR (SC),BJP,Vivekananda Bauri,94994,44.59,AITC,Bouri Hazari,89671,42.04,5323,2.5500000000000043,BJP,AITC Bloc,27 March 2021
247,Saltora (SC),SALTORA (SC),BJP,Chandana Bauri,91648,45.28,AITC,Santosh Kumar Mondal,87503,43.23,4145,2.0500000000000043,BJP,AITC Bloc,27 March 2021
248,Chhatna,CHHATNA,BJP,Satyanarayan Mukhopadhyay,90233,45.84,AITC,Subasish Batabyal,83069,42.2,7164,3.6400000000000006,BJP,AITC Bloc,27 March 2021
249,Ranibandh (ST),RANIBANDH (ST),AITC,Jyotsna Mandi,90928,43.06,BJP,Kshudiram Tudu,86989,41.19,3939,1.8700000000000045,AITC Bloc,BJP,27 March 2021
250,Raipur (ST),RAIPUR (ST),AITC,Mrityunjoy Murmu,101043,51.96,BJP,Sudhanshu Hansda,81645,41.98,19398,9.980000000000004,AITC Bloc,BJP,27 March 2021
251,Taldangra,TALDANGRA,AITC,Arup Chakraborty,92026,45.29,BJP,Shyamal Kumar Sarkar,79649,39.2,12377,6.089999999999996,AITC Bloc,BJP,1 April 2021
252,Bankura,BANKURA,BJP,Niladri Sekhar Dana,95466,43.79,AITC,Sayantika Banerjee,93998,43.12,1468,0.6700000000000017,BJP,AITC Bloc,1 April 2021
253,Barjora,BARJORA,AITC,Alok Mukherjee,93290,42.51,BJP,Supriti Chatterjee,90021,41.02,3269,1.4899999999999949,AITC Bloc,BJP,1 April 2021
254,Onda,ONDA,BJP,Amarnath Shakha,104940,46.48,AITC,Arup Kumar Khan,93389,41.37,11551,5.109999999999999,BJP,AITC Bloc,1 April 2021
255,Bishnupur (Bankura),BISHNUPUR (BANKURA),BJP,Tanmay Ghosh,88743,46.79,AITC,Archita Bid,77610,40.92,11133,5.869999999999997,BJP,AITC Bloc,1 April 2021
256,Katulpur (SC),KATULPUR (SC),BJP,Harakali Protiher,106022,47.31,AITC,Sangeeta Malik,94237,42.05,11785,5.260000000000005,BJP,AITC Bloc,1 April 2021
257,Indas (SC),INDAS (SC),BJP,Nirmal Kumar Dhara,104936,48.04,AITC,Runu Mete,97716,44.73,7220,3.3100000000000023,BJP,AITC Bloc,1 April 2021
258,Sonamukhi (SC),SONAMUKHI (SC),BJP,Dibakar Gharami,98161,47.25,AITC,Dr Shyamal Santra,87273,42.01,10888,5.240000000000002,BJP,AITC Bloc,1 April 2021
259,Khandaghosh (SC),KHANDAGHOSH (SC),AITC,Nabin Chandra Bag,104264,47.85,BJP,Bijan Mandal,83378,38.26,20886,9.590000000000003,AITC Bloc,BJP,17 April 2021
260,Bardhaman Dakshin,BARDHAMAN DAKSHIN,AITC,Khokan Das,91015,44.32,BJP,Sandip Nandi,82910,40.38,8105,3.9399999999999977,AITC Bloc,BJP,17 April 2021
261,Raina (SC),RAINA (SC),AITC,Shampa Dhara,108752,47.46,BJP,Manik Roy,90547,39.51,18205,7.950000000000003,AITC Bloc,BJP,17 April 2021
262,Jamalpur (SC),JAMALPUR (SC),AITC,Alok Kumar Majhi,96999,46.93,BJP,Balaram Bapari,79028,38.24,17971,8.689999999999998,AITC Bloc,BJP,17 April 2021
263,Manteswar,MANTESWAR,AITC,Chowdhury Siddiqullah,105460,50.45,BJP,Saikat Panja,73655,35.24,31805,15.21,AITC Bloc,BJP,17 April 2021
264,Kalna (SC),KALNA (SC),AITC,Deboprasad Bag (Poltu),96073,45.98,BJP,Biswajit Kundu,88595,42.4,7478,3.5799999999999983,AITC Bloc,BJP,17 April 2021
265,Memari,MEMARI,AITC,Madhusudan Bhattacharya,104851,47.92,BJP,Bhismadeb Bhattacharya,81773,37.37,23078,10.550000000000004,AITC Bloc,BJP,17 April 2021
266,Bardhaman Uttar (SC),BARDHAMAN UTTAR (SC),AITC,Nisith Kumar Malik,111211,45.97,BJP,Radha Kanta Roy,93943,38.83,17268,7.140000000000001,AITC Bloc,BJP,17 April 2021
267,Bhatar,BHATAR,AITC,Adhikari Mangobinda,108028,50.44,BJP,Mahendranath Kowar,76287,35.62,31741,14.82,AITC Bloc,BJP,22 April 2021
268,Purbasthali Dakshin,PURBASTHALI DAKSHIN,AITC,Swapan Debnath,105698,49.08,BJP,Rajib Kumar Bhowmick,88288,41.0,17410,8.079999999999998,AITC Bloc,BJP,22 April 2021
269,Purbasthali Uttar,PURBASTHALI UTTAR,AITC,Tapan Chatterjee,92421,43.52,BJP,Gobardhan Das,85715,40.37,6706,3.1500000000000057,AITC Bloc,BJP,22 April 2021
270,Katwa,KATWA,AITC,Rabindranath Chatterjee,107894,48.07,BJP,Shyama Majumdar,98739,43.99,9155,4.079999999999998,AITC Bloc,BJP,22 April 2021
271,Ketugram,KETUGRAM,AITC,Sekh Sahonawez,100226,46.55,BJP,Anadi Ghosh (Mathura),87543,40.66,12683,5.890000000000001,AITC Bloc,BJP,22 April 2021
272,Mangalkot,MANGALKOT,AITC,Apurba Chowdhury (Achal),107596,49.51,BJP,Rana Protap Goswami,85259,39.23,22337,10.280000000000001,AITC Bloc,BJP,22 April 2021
273,Ausgram (SC),AUSGRAM (SC),AITC,Abhedananda Thander,100392,46.25,BJP,Kalita Maji,88577,40.8,11815,5.450000000000003,AITC Bloc,BJP,22 April 2021
274,Galsi (SC),GALSI (SC),AITC,Nepal Ghorui,109504,49.21,BJP,Bikash Biswas,90242,40.55,19262,8.660000000000004,AITC Bloc,BJP,22 April 2021
275,Pandaveswar,PANDAVESWAR,AITC,Narendranath Chakraborty,73922,44.99,BJP,Jitendra Tiwari,70119,42.68,3803,2.3100000000000023,AITC Bloc,BJP,26 April 2021
276,Durgapur Purba,DURGAPUR PURBA,AITC,Pradip Mazumdar,79303,41.16,BJP,Colonel Diptansu Chaudhury,75557,39.21,3746,1.9499999999999957,AITC Bloc,BJP,26 April 2021
277,Durgapur Paschim,DURGAPUR PASCHIM,BJP,Lakshman Chandra Ghorui,91186,46.31,AITC,Biswanath Parial,76522,38.86,14664,7.450000000000003,BJP,AITC Bloc,26 April 2021
278,Raniganj,RANIGANJ,AITC,Tapas Banerjee,78164,42.9,BJP,Dr. Bijan Mukherjee,74608,40.95,3556,1.9499999999999957,AITC Bloc,BJP,26 April 2021
279,Jamuria,JAMURIA,AITC,Hareram Singh,71002,42.59,BJP,Tapas Kumar Roy,62951,37.76,8051,4.830000000000005,AITC Bloc,BJP,26 April 2021
280,Asansol Dakshin,ASANSOL DAKSHIN,BJP,Agnimitra Paul,87881,45.13,AITC,Sayani Ghosh,83394,42.82,4487,2.3100000000000023,BJP,AITC Bloc,26 April 2021
281,Asansol Uttar,ASANSOL UTTAR,AITC,Moloy Ghatak,100931,52.32,BJP,Krishnendu Mukherjee,79821,41.38,21110,10.939999999999998,AITC Bloc,BJP,26 April 2021
282,Kulti,KULTI,BJP,Ajay Kumar Poddar,81112,46.41,AITC,Ujjal Chatterjee,80433,46.02,679,0.38999999999999346,BJP,AITC Bloc,26 April 2021
283,Barabani,BARABANI,AITC,Bidhan Upadhyay,88430,52.26,BJP,Arijit Roy,64973,38.4,23457,13.86,AITC Bloc,BJP,26 April 2021
284,Dubrajpur (SC),DUBRAJPUR (SC),BJP,Anup Kumar Saha,98083,47.94,AITC,Debabrata Saha,94220,46.05,3863,1.8900000000000006,BJP,AITC Bloc,29 April 2021
285,Suri,SURI,AITC,Bikash Roychoudhury,105871,48.43,BJP,Jagannath Chattopadhyay,98551,45.08,7320,3.3500000000000014,AITC Bloc,BJP,29 April 2021
286,Bolpur,BOLPUR,AITC,Sinha Chandranath,116443,50.57,BJP,Anirban Ganguly,94163,40.89,22280,9.68,AITC Bloc,BJP,29 April 2021
287,Nanoor (SC),NANOOR (SC),AITC,Bidhan Chandra Majhi,112116,47.64,BJP,Tarakeswar Saha,105446,44.81,6670,2.8299999999999983,AITC Bloc,BJP,29 April 2021
288,Labpur,LABPUR,AITC,Abhijit Sinha (Rana),108423,51.14,BJP,Biswajit Mondal,90448,42.66,17975,8.480000000000004,AITC Bloc,BJP,29 April 2021
289,Sainthia (SC),SAINTHIA (SC),AITC,Nilabati Saha,110572,49.84,BJP,Piya Saha,95329,42.97,15243,6.8700000000000045,AITC Bloc,BJP,29 April 2021
290,Mayureswar,MAYURESWAR,AITC,Abhijit Roy,100425,50.36,BJP,Shyamapada Mondal,88350,44.3,12075,6.060000000000002,AITC Bloc,BJP,29 April 2021
291,Rampurhat,RAMPURHAT,AITC,Asish Banerjee,103276,47.52,BJP,Subhasis Choudhury (Khokan),94804,43.62,8472,3.9000000000000057,AITC Bloc,BJP,29 April 2021
292,Hansan,HANSAN,AITC,Dr. Asok Kumar Chattopadhyay,108289,51.42,BJP,Nikhil Banerjee,57676,27.39,50613,24.03,AITC Bloc,BJP,29 April 2021
293,Nalhati,NALHATI,AITC,Rajendra Prasad Singh (Raju Singh),117438,56.54,BJP,Tapas Kumar Yadav (Ananda Yadav),60533,29.15,56905,27.39,AITC Bloc,BJP,29 April 2021
294,Murarai,MURARAI,AITC,Dr Mosarraf Hossain,146496,67.23,BJP,Debasish Roy,48250,22.14,98246,45.09,AITC Bloc,BJP,29 April 2021
