phase,district,ac_no,ac_name_pdf,male_electors,female_electors,third_gender_electors,total_electors,female_share,male_share
1,Paschim Medinipur,235,KESHPUR (SC),139086,128948,0,268034,0.48108822015117486,0.5189117798488252
1,Paschim Medinipur,236,MEDINIPUR,128848,131447,0,260295,0.5049924124550991,0.495007587544901
1,Jhargram,237,BINPUR (ST),110250,110873,2,221125,0.5014041831543244,0.49858677218767666
1,Purulia,238,BANDWAN (ST),145379,140587,0,285966,0.49162138156284313,0.5083786184371568
1,Purulia,239,BALARAMPUR,122322,113063,3,235388,0.48032609988614544,0.5196611551990755
1,Purulia,240,BAGHMUNDI,129747,120906,4,250657,0.48235636746629856,0.5176276744714889
1,Purulia,241,JOYPUR,132130,121693,2,253825,0.47943661971830986,0.5205555008371909
1,Purulia,242,PURULIA,128610,123203,3,251816,0.48925802967245924,0.5107300568669187
1,Purulia,243,MANBAZAR (ST),129457,126002,1,255460,0.49323573162138884,0.5067603538714476
1,Purulia,244,KASHIPUR,116541,113011,0,229552,0.49231111033665576,0.5076888896633442
1,Purulia,245,PARA (SC),123039,113081,0,236120,0.47891326444180926,0.5210867355581907
1,Purulia,246,RAGHUNATHPUR (SC),129612,124410,1,254023,0.48975880136838,0.5102372619802144
1,Bankura,247,SALTORA (SC),120047,113128,0,233175,0.4851635038061542,0.5148364961938459
1,Bankura,248,CHHATNA,124236,117915,0,242151,0.4869482265198162,0.5130517734801838
1,Bankura,249,RANIBUNDH (ST),128697,125873,0,254570,0.4944533919943434,0.5055466080056567
1,Bankura,250,RAIPUR (ST),113171,110949,0,224120,0.49504283419596645,0.5049571658040336
1,Bankura,251,TALDANGRA,120446,115239,0,235685,0.488953476037932,0.5110465239620681
1,Bankura,252,BANKURA,130714,130172,0,260886,0.4989612321090438,0.5010387678909562
1,Bankura,253,BARJORA,128366,123035,1,251402,0.48939547020310104,0.5106005521038018
1,Bankura,254,ONDA,134404,128004,0,262408,0.4878052498399439,0.5121947501600561
1,Bankura,255,BISHNUPUR,111531,108753,0,220284,0.4936945034591709,0.5063054965408291
1,Bankura,256,KATULPUR (SC),129495,124201,1,253697,0.48956432279451473,0.5104317354954927
1,Bankura,257,INDUS (SC),124899,120368,0,245267,0.49076312753040563,0.5092368724695944
1,Bankura,258,SONAMUKHI (SC),120586,115184,0,235770,0.48854391992195784,0.5114560800780421
2,Purba Bardhaman,259,KHANDAGHOSH,118049,115630,0,233679,0.4948240963030482,0.5051759036969518
2,Purba Bardhaman,260,BURDWAN DAKSHIN,108647,113310,4,221961,0.5104950869747388,0.4894868918413595
2,Purba Bardhaman,261,RAINA,124871,121186,3,246060,0.4925058928716573,0.5074819149800862
2,Purba Bardhaman,262,JAMALPUR,114250,111213,5,225468,0.49325403161424236,0.506723792289815
2,Purba Bardhaman,263,MONTESWAR,109788,106971,5,216764,0.4934906165230389,0.506486316916093
2,Purba Bardhaman,264,KALNA,115511,110854,5,226370,0.48970269912090825,0.5102752131466184
2,Purba Bardhaman,265,MEMARI,120690,118905,6,239601,0.4962625364668762,0.5037124219014111
2,Purba Bardhaman,266,BURDWAN UTTAR,129891,130468,1,260360,0.5011061607005685,0.4988899984636657
2,Purba Bardhaman,267,BHATAR,113735,112907,0,226642,0.49817333062715646,0.5018266693728435
2,Purba Bardhaman,268,PURBASTHALI DAKSHIN,120297,112279,1,232577,0.4827605481195475,0.5172351522291542
2,Purba Bardhaman,269,PURBASTHALI UTTAR,125849,113625,6,239480,0.47446550860197095,0.5255094371137464
2,Purba Bardhaman,270,KATWA,131414,125395,2,256811,0.48827737129640086,0.5117148408751961
2,Purba Bardhaman,271,KETUGRAM,120601,113433,1,234035,0.4846839147990685,0.5153118123357617
2,Purba Bardhaman,272,MONGALKOTE,118847,113135,2,231984,0.4876844954824471,0.5123068832333264
2,Purba Bardhaman,273,AUSGRAM,119363,116644,3,236010,0.49423329519935594,0.5057539934748527
2,Purba Bardhaman,274,GALSI,123314,120638,3,243955,0.49450923326023244,0.5054784693898465
1,Paschim Bardhaman,275,PANDABESWAR,97444,90945,1,188390,0.4827485535325654,0.51724613833006
1,Paschim Bardhaman,276,DURGAPUR PURBA,118400,118726,1,237127,0.500685286787249,0.499310496063291
1,Paschim Bardhaman,277,DURGAPUR PASCHIM,121281,117415,4,238700,0.4918935902806871,0.5080896522832007
1,Paschim Bardhaman,278,RANIGANJ,110971,105021,2,215994,0.48622183949554154,0.5137689009879904
1,Paschim Bardhaman,279,JAMURIA,102051,94492,2,196545,0.4807652191610064,0.5192246050522781
1,Paschim Bardhaman,280,ASANSOL DAKSHIN,122533,116492,5,239030,0.48735305191816924,0.5126260302054135
1,Paschim Bardhaman,281,ASANSOL UTTAR,120386,116471,1,236858,0.4917334436666695,0.5082623343944473
1,Paschim Bardhaman,282,KULTI,109712,100837,4,210553,0.4789150475177271,0.5210659548902177
1,Paschim Bardhaman,283,BARBANI,102600,99295,3,201898,0.49180774450465087,0.5081773965071472
1,Birbhum,284,DUBRAJPUR (SC),120292,111210,1,231503,0.48038254363874333,0.5196131367628065
1,Birbhum,285,SURI,127171,124900,0,252071,0.4954953167956647,0.5045046832043353
1,Birbhum,286,BOLPUR,131040,129064,8,260112,0.4961862582272252,0.5037829857907363
1,Birbhum,287,NANOOR (SC),137576,131502,4,269082,0.48870604499743575,0.5112790896455356
1,Birbhum,288,LABPUR,120302,114326,2,234630,0.48726079358990754,0.5127306823509356
1,Birbhum,289,SAINTHIA (SC),127499,124497,1,251997,0.49404159573328255,0.5059544359655075
1,Birbhum,290,MAYURESWAR,113597,112273,4,225874,0.4970603079593047,0.5029219830524982
1,Birbhum,291,RAMPURHAT,121631,123527,1,245159,0.5038648387373093,0.49613108227721603
